id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
317905,Come and go as  you please in BKLN!,1631733,Jane,Brooklyn,Kensington,40.64354,-73.97777,Entire home/apt,3,62,2019-01-02,0.71,1,189,89
34205267,"Spacious, sunny room in Queens/Brooklyn",913940,Giancarlo,Queens,Ridgewood,40.70666,-73.90779,Private room,21,0,,,1,73,30
12342297,Private bedroom in high-ceiling 4BR apartment!,19953913,Alejandro,Manhattan,Hell's Kitchen,40.76116,-73.99016,Private room,2,17,2017-04-28,0.43,1,0,120
33527778,Sonder | Stock Exchange | Stunning 3BR + Kitchen,219517861,Sonder (NYC),Manhattan,Financial District,40.70763,-74.0105,Entire home/apt,2,5,2019-06-02,1.88,327,272,470
13136376,Spacious 2 Bedroom with Balcony,16110448,Gingie,Manhattan,East Harlem,40.79658,-73.93287,Entire home/apt,2,30,2019-06-03,0.8,1,30,199
4365276,Entire 2BR APT (not a railroad),3081990,Amanda,Brooklyn,Williamsburg,40.70698,-73.95406,Entire home/apt,1,141,2019-06-22,3.05,1,28,170
22968206,1br in spacious 2 br in the heart of Williamsburg,22748648,Hugo,Brooklyn,Williamsburg,40.71246,-73.96133,Private room,5,1,2018-02-21,0.06,1,0,90
32472023,comfortable Place to live,209376540,Jing,Queens,College Point,40.76813,-73.84542,Entire home/apt,30,0,,,1,121,60
8609130,Great Nolita Apartment!,2520559,Victoria,Manhattan,SoHo,40.72214,-73.99793,Entire home/apt,2,89,2019-06-02,1.94,1,55,150
24806106,“Studio” ideally located  across Golf Course,132669029,Edwin,Bronx,Throgs Neck,40.81437,-73.82774,Entire home/apt,2,37,2019-06-13,2.63,4,70,74
34112635,CRASH PAD near LGA JFK,21216008,Jose,Queens,Jackson Heights,40.75078,-73.87949,Shared room,1,4,2019-06-08,2.11,4,354,28
24746319,Amazing room for Memorial day weekend only!,111876825,Brandon,Queens,Maspeth,40.71319,-73.90315,Private room,2,0,,,1,365,200
4386513,"2 Bedroom Duplex, INCREDIBLE views! 30day discount",10556597,Dan,Manhattan,East Village,40.72478,-73.97771,Entire home/apt,3,12,2019-06-10,0.21,1,4,230
9935949,Spacious Room in Great Neighborhood,1504702,Casey,Brooklyn,Clinton Hill,40.69353,-73.96784,Private room,1,2,2016-01-02,0.05,1,0,48
19808524,Cozy one bedroom apt in artsy Brooklyn Brownstone,781674,Stephen,Brooklyn,Fort Greene,40.68816,-73.97579,Entire home/apt,14,5,2018-07-09,0.21,1,0,100
15872277,Room in Stuytown Apartment,37712463,Caroline,Manhattan,Gramercy,40.73267,-73.98259,Private room,3,1,2016-11-29,0.03,1,0,100
34508048,Bedstuy On 4th.,63554174,Sharon,Brooklyn,Bedford-Stuyvesant,40.69091,-73.94514,Entire home/apt,30,4,2019-06-10,2.35,1,133,115
19363396,Soho Downtown - Large Sunny Private Room!,27721159,Louise,Manhattan,SoHo,40.72635,-74.00298,Private room,1,1,2017-07-05,0.04,1,0,94
25841768,"Entire Garden Level Home in Greenpoint, Brooklyn",159204067,Maggie,Brooklyn,Greenpoint,40.72488,-73.94932,Entire home/apt,1,6,2019-03-24,0.5,1,6,124
1965712,Lovely large 1-bdrm apt UWS,10153235,Tammie,Manhattan,Upper West Side,40.78122,-73.98473,Entire home/apt,1,0,,,1,0,235
32611977,Mi casa es tu casa! Cozy & comfortable!,245160359,Arnol,Bronx,Belmont,40.85505,-73.89238,Private room,2,28,2019-07-06,6.72,1,84,40
4006264,Cozy Parkside 1 Bedroom Apartment,942933,David,Manhattan,Harlem,40.80489,-73.95759,Entire home/apt,1,1,2014-09-25,0.02,1,0,115
1496319,Private Huge 2br Williamsburg Artist Apartment!,7997061,Rebecca,Brooklyn,Williamsburg,40.71471,-73.94045,Entire home/apt,1,87,2019-06-27,1.23,1,272,250
261259,Apartment in Best location in NYC,1370358,Keiko,Manhattan,West Village,40.72953,-74.00462,Entire home/apt,7,11,2015-05-27,0.12,1,0,145
9330884,"Downtown Manhattan, 2 Bedroom",48427159,Kyle,Manhattan,Lower East Side,40.7225,-73.9894,Entire home/apt,3,0,,,1,0,200
30388668,"Well-appointed Tribeca Studio w/ Indoor pool, Gym by Blueground",107434423,Blueground,Manhattan,Tribeca,40.71519,-74.00654,Entire home/apt,30,0,,,232,38,312
35881347,gorgeous bedroom near Yankee Stadium,263317402,Cynthia Vanessa,Bronx,Concourse Village,40.82964,-73.91833,Private room,3,0,,,1,162,53
